Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9108250:ELECTRICAL MAINTENANCE AND REPAIR SERVICES,BIG INCORPORATED,12-Dec-14,PO512592,1280,11036
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",9-Dec-14,PO505956-V2,115187.04,11037
DEPT. OF HOUSING AND COMM. DEVELOPMENT,"2083720:SOFTWARE, MICROCOMPUTER, DATABASE, APPLE COMPATIBLE, LATEST RELEASE OR VERSION LISTED",Dell Computer Corp.,23-Feb-15,PO515921,7579,11038
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),ARNIDA B. LAMONT,4-Feb-15,PO505937-V3,88908.53,11039
DEPARTMENT OF BEHAVIORAL HEALTH,9105960:PEST CONTROL SERVICES (INCL. TERMITE INSPECTION),PEST SERVICES CO.,1-Oct-14,PO505577,500,11040
DEPARTMENT OF BEHAVIORAL HEALTH,9614813:LABORATORY ANALYSIS AND TESTING OF BACTERIOLOGICALS,B & W STAT LABORATORY,4-Mar-15,PO505948-V2,585,11041
DEPARTMENT OF HEALTH CARE FINANCE,9462000:Auditing,BERT SMITH & COMPANY,7-Nov-14,PO509819,466014.9,11042
DEPARTMENT OF CORRECTIONS,"2008777:SHIRTS, UNIFORM, MENS AND WOMENS, LONG AND SHORT SLEEVE, SHOULDER PATCHES, BADGE TABS, 100% DACRON POLYESTER",MORGANS INC,20-Oct-14,PO507652,230000,11043
DEPARTMENT OF PARKS AND RECREATION,6007240:FAX MACHINE/COPIER/SCANNER/COLOR PRINTER COMBINATION,XEROX CORPORATION,20-Nov-14,PO510946,71500,11044
DEPARTMENT OF CORRECTIONS,"2018693:UNDERWEAR, THERMAL, WOMENS, CIRCULAR KNIT, 50% POLYESTER, 50% COTTON",AMERICAN SUPPLY COMPANY,23-Dec-14,PO513304,26,11045
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,9180600:Administrative Consulting,"OST, Inc.",16-Dec-14,PO506960-V2,191620,11046
OFFICE OF MUNICIPAL PLANNING,"9392741:COPY MACHINE MAINTENANCE AND REPAIR, ENGINEERING","CANON BUSINESS SOLUTIONS, INC",1-Oct-14,PO505233,2153.52,11047
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER",Diversitec,28-Jan-15,PO513692-V2,5940,11048
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",On-Line Computer Products Inc.,19-Nov-14,PO510846,380,11049
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",25-Nov-14,PO505786-V2,115187.04,11050
DEPARTMENT OF YOUTH REHABILITATION SVCS,9183200:Consulting Services (Not Otherwise Classified),STEP AFRIKA] USA INC,29-Dec-14,PO507053-V2,29925,11051
DEPARTMENT OF BEHAVIORAL HEALTH,9103957:JANITORIAL/CUSTODIAL SERVICES,CLEAN TEAM JANITORIAL SVCS,10-Nov-14,PO505862-V2,19100.32,11052
DEPARTMENT OF BEHAVIORAL HEALTH,"2086000:Medical Software, All Types","HENRY SCHEIN, INC.",18-Nov-14,PO510720,10,11053
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),GREAT AMERICAN CORP,10-Nov-14,PO506689-V2,270,11054
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"NAMI WASHINGTON, DC",1-Oct-14,PO505584,43200,11055
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","Melmark, Inc.",6-Nov-14,PO509705,55837.2,11056
D.C. DEPARTMENT OF HUMAN RESOURCES,9183800:Education and Training Consulting,GEORGE WASHINGTON UNIVERSITY,3-Oct-14,PO506101,187260,11057
DC PUBLIC LIBRARY,9625800:Professional Services (Not Otherwise Classified),WASHINGTON STORYTELLERS THEATR,6-Feb-15,PO515263,1000,11058
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,G-LAND UNIFORMS INC.,6-Feb-15,PO515279,135,11059
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies",Capital Services and Supplies,2-Dec-14,PO511737,429,11060
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056200:Physical Education Equipment, Adaptive: Body Alignment Wedges, Mobile Mats, Stimulation Boards, Straddle Seats, Vestibular Boards, etc.",BSN SPORTS,10-Feb-15,PO515355,125.9,11061
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6150410:PAPER, ADDING MACHINE, CARBONLESS",AMERICAN EXPRESS COMPANY,30-Jan-15,PO514880,1072.63,11062
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4854644:DISPENSERS, JUMBO TOILET TISSUE ROLL",General Merchandise Supplies,16-Oct-14,PO507476,61.1,11063
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,23.96,11064
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6408525:WIPERS, PAPER TOWEL, TISSUE TYPE",AMERICAN EXPRESS COMPANY,10-Feb-15,PO515371,5000,11065
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9150400:Advertising, Outdoor Billboard, etc.",THE AQUILINE GROUP,30-Jan-15,PO514879,20.09,11066
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045446:MICROCOMPUTERS, LAPTOP",APPLE COMPUTER INC,11-Feb-15,PO515541,99,11067
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",READING PARTNERS,12-Nov-14,PO510123,18500,11068
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,6.01,11069
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854554:PAPER, DRAWING, SCHOOLROOM","SCHOLASTIC, INC.",19-Nov-14,PO510751,3.71,11070
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,4.92,11071
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,30-Dec-14,PO513366,125.5,11072
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LAKESHORE LEARNING MATERIALS,24-Nov-14,PO511156,66.48,11073
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,14.49,11074
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",23-Dec-14,PO513348,600,11075
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",SCHOOL SPECIALTY,18-Nov-14,PO510669,11.16,11076
COUNCIL OF THE DISTRICT OF COLUMBIA,"9660722:PRINTING OF BUSINESS CARDS, ONE COLOR, WHITE SMOOTH FINISH PAPER","SENODA, INC.",28-Jan-15,PO514704,1480,11077
COUNCIL OF THE DISTRICT OF COLUMBIA,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",Dell Computer Corp.,14-Jan-15,PO514114,2754.32,11078
METROPOLITAN POLICE DEPARTMENT,"6805300:Guns, Machine (Including Other Military Style Weapons)","Atlantic Tactical, Inc",25-Nov-14,PO511367,3420.1,11079
OFFICE OF CONTRACTING AND PROCUREMENT,"9626941:PERSONNEL SERVICES, TEMPORARY","HOLDER ENTERPRISES, INC.",10-Feb-15,PO508532-V3,18314.75,11080
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"Plenary Enterprises, LLC",19-Nov-14,PO510819,160000,11081
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6007755:PARTS AND ACCESSORIES, PITNEY BOWES POSTAGE METER (PITNEY BOWES OR EQUAL)",PITNEY BOWES,17-Nov-14,PO510434,10822.7,11082
CHILD AND FAMILY SERVICES AGENCY,9625800:Professional Services (Not Otherwise Classified),REGINA ASHTON,16-Jan-15,PO514295,50000,11083
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9187500:Management Consulting,"WHITMAN WALKER CLINIC, INC.",8-Dec-14,PO512168,99000,11084
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,17-Nov-14,PO510497,50.4,11085
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,"Girard House Cooperative, LCA",9-Feb-15,PO515315,161097.28,11086
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),TONI THOMAS ASSOCIATES INC,29-Jan-15,PO514835,4000,11087
DEPARTMENT OF BEHAVIORAL HEALTH,6007240:FAX MACHINE/COPIER/SCANNER/COLOR PRINTER COMBINATION,XEROX CORPORATION,11-Feb-15,PO515557,0,11088
DEPARTMENT OF BEHAVIORAL HEALTH,9520600:Alcohol and Drug Prevention,Sasha Bruce Youthwork,10-Nov-14,PO509952,50125,11089
DEPARTMENT OF BEHAVIORAL HEALTH,"9366300:Pumps, Vertical, Maintenance and Repair",RSC ELECTRICAL & MECHANICAL CO,4-Mar-15,PO516489,1800,11090
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",DIVERSIFIED TRANSPORTATION SRV,12-Feb-15,PO507961-V2,66.31,11091
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),Ross Professional Services,20-Feb-15,PO507083-V3,17431.36,11092
OFFICE OF THE SECRETARY,9625800:Professional Services (Not Otherwise Classified),DIGI DOCS INC DOCUMENT MGERS,25-Nov-14,PO511342,14719.5,11093
DEPARTMENT OF TRANSPORTATION,"2102824:CULVERTS, BOX, CONCRETE, IN ACCORDANCE WITH ITEM 462 OF THE 1993 (1995 METRIC) STANDARD SPECIFICATIONS FOR CONSTRUCTION OF HIGHWAYS, STREETS AND BRIDGES",FORT MYER CONSTRUCTION CORPORA,8-Oct-14,PO506499,7177633.5,11094
D.C. SENTENCING & CRIM. CODE REV. COMM.,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"Blueprint Consulting Services, LLC",20-Oct-14,PO507528,60442.23,11095
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0376300:Recycled Decorations, Games and Toys",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Jan-15,PO514085,79.28,11096
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183200:Consulting Services (Not Otherwise Classified),KAGAN COOPERATIVE LEARNING,25-Nov-14,PO511260,3999,11097
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5754915:ACCESSORIES, EQUIPMENT AND SUPPLIES, MICROFILM, FOR FILMDEX",Clinton Learning Solutions LLC,29-Jan-15,PO514849,170,11098
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9201400:Applications Software (For Minicomputer Systems),EDCLUB INC,19-Dec-14,PO513202,660,11099
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9100300:Building Cleaning, Exterior",General Merchandise Supplies,13-Jan-15,PO514089,1468.5,11100
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6404013:BOXES, BUSINESS CARD (CALLING CARD)",Formost Advanced Creations,28-Oct-14,PO508585,72,11101
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","PROJECT REDIRECT, INC.",7-Mar-15,PO505522-V3,17499,11102
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",METRO HOMES INCORPORATED,22-Dec-14,PO509862-V2,500,11103
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),DIECA COMMUNICATIONS DBA COVAD,14-Jan-15,PO509474-V2,35000,11104
DEPARTMENT OF TRANSPORTATION,"9204752:SUPPORT SERVICES, COMPUTER, MISCELLANEOUS","OST, Inc.",20-Oct-14,PO361653-V15,234580,11105
STATE SUPERINTENDENT OF EDUCATION (OSSE),"9240500:Advisory Services, Educational","URBAN POLICY DEVELOPMENT, LLC",2-Oct-14,PO505957,140000,11106
OFFICE OF UNIFIED COMMUNICATIONS,9615600:Program/Project Development and Management Services,"OST, Inc.",11-Dec-14,PO507426-V2,125257.6,11107
DC PUBLIC LIBRARY,9150300:Advertising/Public Relations,WTOP RADIO,22-Jan-15,PO510092-V2,0,11108
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857660:PAPER, WRITING, NEWS PRINT, FOR USE WITH PENCILS",OFFICE DEPOT,18-Feb-15,PO515752,47.45,11109
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3653026:BUFFER, FLOOR",General Merchandise Supplies,11-Dec-14,PO512471,999.98,11110
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,8801188:VISUAL PRESENTATION SYSTEMS,"MVS, Inc.",4-Dec-14,PO512016,2263.35,11111
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2001632:COATS, MENS, WINTER",MORGANS INC,29-Dec-14,PO513475,279.9,11112
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2854579:LAMPS, PROJECTION","CDW Government, Inc.",13-Nov-14,PO510252,173.46,11113
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9628600:Transportation of Goods and other Freight Services,"HOLDER ENTERPRISES, INC.",21-Nov-14,PO511080,50,11114
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,"TEACHING STRATEGIES, INC.",8-Dec-14,PO512241,4820.25,11115
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9102737:GARBAGE/TRASH REMOVAL SERVICES FOR OHIO DEVELOPMENTAL CENTERS,"SHRED-IT USA, INC.",17-Nov-14,PO509621-V2,1770,11116
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855730:CLEANER, WHITE BOARD",WEST MUSIC,10-Nov-14,PO508688-V2,0,11117
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",MONTESSORI SERVICES,21-Nov-14,PO511083,12.95,11118
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",MONTESSORI SERVICES,21-Nov-14,PO511082,198.95,11119
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9391500:Calculating Machine (Not Computer) Maintenance and Repair,MAYER-JOHNSON LLC,14-Nov-14,PO510396,399,11120
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,3188800:Tokens,WASH METRO AREA TRANSIT AUTH,10-Oct-14,PO507067,500,11121
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,79.9,11122
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CHAIRS, WOOD, SECRETARIAL HEIGHT, ERGONOMICALLY DESIGNED FULL FABRIC SEAT AND BACK.  STANDARD: WITHOUT ARMS, WITH LEVER ACTIVATED PNEUMATIC LIFT.  INFINITELY ADJUSTABLE SEAT HEIGHT.",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510563,1000,11123
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,22,11124
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,3851273:SNACK CAKES/COOKIES,MDM Office Systems DBA Standard Office Supply,22-Jan-15,PO514440,103.86,11125
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",HOUGHTON MIFFLIN CO INC,12-Dec-14,PO512572,235.37,11126
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,TURNER CONSTRUCTION COMPANY,10-Feb-15,PO515448,11948.65,11127
DEPARTMENT OF MOTOR VEHICLES,"9092400:Building Construction, Commercial and Institutional","LEONE TECH, LLC",9-Feb-15,PO515332,15100,11128
OFFICE ON ASIAN/PACIFIC AFFAIRS,9625800:Professional Services (Not Otherwise Classified),Hepatitis B Initiative of Wash,9-Dec-14,PO512304,40250,11129
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,3-Feb-15,PO515037,29,11130
COUNCIL OF THE DISTRICT OF COLUMBIA,"9660722:PRINTING OF BUSINESS CARDS, ONE COLOR, WHITE SMOOTH FINISH PAPER","SENODA, INC.",30-Jan-15,PO514945,135,11131
D.C. NATIONAL GUARD,"6156914:CLIPS & FASTENERS, BINDER",LASER ART INC,13-Jan-15,PO514070,10.7,11132
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER",Paige International,17-Dec-14,PO512923,241.92,11133
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO507126-V2,55810,11134
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",26-Nov-14,PO507043-V2,77706.48,11135
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",21-Nov-14,PO510993,1030.56,11136
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",5-Feb-15,PO515230,228.96,11137
DEPT. OF HOUSING AND COMM. DEVELOPMENT,"6003825:COPIERS, BOND (PLAIN) PAPER TYPE, NEW",XEROX CORPORATION,19-Dec-14,PO513150,7052,11138
LOTTERY & CHARITABLE GAMES CONTROL BOARD,"9615300:Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.)",MDB COMMUNICATIONS,24-Nov-14,PO493016-V2,70123.14,11139
DEPARTMENT OF EMPLOYMENT SERVICES,"9615040:LEGAL SERVICES INCLUDING RESEARCH TIME, TRAVEL TIME, TESTIFYING TIME, MEALS, ETC.",REED ELSEVIER INCORPORATED,5-Dec-14,PO512070,9840,11140
DEPARTMENT OF EMPLOYMENT SERVICES,"2008598:UNIFORMS, BUSINESS AND WORK (VARIOUS), MEN AND WOMEN",MORGANS INC,23-Dec-14,PO507194-V2,315,11141
DEPARTMENT OF EMPLOYMENT SERVICES,9625800:Professional Services (Not Otherwise Classified),Covenant House Washington,5-Feb-15,PO514528,6500,11142
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Rasha Richardson,1-Oct-14,PO505349,3360,11143
DEPARTMENT OF CORRECTIONS,9201400:Applications Software (For Minicomputer Systems),Northpointe Inc,13-Nov-14,PO508495-V2,3550,11144
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),"RAP, INC.",1-Oct-14,PO505502,527079,11145
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),SAMARITAN MINISTRY OF GREATER,1-Oct-14,PO505474,37070.78,11146
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",FINSBY CARE INC.,7-Nov-14,PO509878,500,11147
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",ABUNDANT LIFE RESIDENTIAL,30-Dec-14,PO513549,80938.5,11148
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",Metropolitan Washington Council of Governments,27-Jan-15,PO514656,528882,11149
DEPUTY MAYOR FOR PLANNING AND ECON DEV,"0375232:CARD CASES, NOTECASES, AND NOTEPAD HOLDERS (IMPRINTED)","BOCALJE SERVICES, INC.",9-Oct-14,PO506643-V2,2510,11150
STATE SUPERINTENDENT OF EDUCATION (OSSE),"9716500:Room Rental for Conferences, Seminars, etc.",FLIK INTERNATIONAL,24-Feb-15,PO516022,23338,11151
D.C. DEPARTMENT OF HUMAN RESOURCES,9184000:Employee Benefits Consulting,"ENLIGHTENEERING, INC.",10-Nov-14,PO509950,6000,11152
D.C. DEPARTMENT OF HUMAN RESOURCES,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,TALENT TECHNOLOGY CORPORATION,20-Oct-14,PO507714,32000,11153
DC PUBLIC LIBRARY,"6805265:PISTOL, SEMI-AUTOMATIC, BRAND LISTED OR EQUAL","Atlantic Tactical, Inc",3-Nov-14,PO509194,9407,11154
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8000877:BOOTS, LEATHER, UNIFORM, CHUKKA TYPE","MARLOW SPORTS, INC.",8-Dec-14,PO512209,114,11155
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008574:SHIRTS, UNIFORM, DRESS, MENS, LONG SLEEVE, POLY/COTTON BLEND",MORGANS INC,8-Dec-14,PO512234,47.9,11156
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2049692:WARRANTY, EXTENDED, COMPUTER EQUIPMENT",LENOVA (USA) INC,15-Jan-15,PO514223,2730,11157
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8052300:Bags, Sports Equipment",METROPOLITAN OFFICE PRODUCTS,7-Oct-14,PO506473,598.5,11158
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6154313:FOLDERS, HANGING FILE",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,29-Oct-14,PO508682,178.7,11159
DEPARTMENT OF HUMAN SERVICES,9521500:Case Management,Friendship Place,21-Nov-14,PO511028,6400,11160
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,"AT DISCOUNT SALES & SVCS, LLC",22-Jan-15,PO514439,780,11161
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4950700:Agricultural Science Equipment: Diffusive Resistance Meters, Leaf Porometers and Water Potential Measuring Equipment, Seed Counters and Germinators, Soil Sterilizers, etc.",CAROLINA BIOLOGICAL SUPPLY COM,9-Feb-15,PO515305,175.7,11162
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),DIVERSIFIED EDUCATIONAL SYSTEM,24-Dec-14,PO513374,610.39,11163
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARDS NATURAL SCIENCE,30-Dec-14,PO513597,169.5,11164
DEPARTMENT OF HUMAN SERVICES,9521500:Case Management,LIFE STRIDE INC,1-Dec-14,PO510796,370400,11165
DEPARTMENT OF HUMAN SERVICES,9524300:Family and Social Services (Including Shopping and Buying Services),"COMMUNITY FAMILY LIFE SERVICE,",3-Nov-14,PO509198,190000,11166
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077550:PANEL, PROJECTION, FOR USE WITH OVERHEAD PROJECTOR AND COMPUTER","MVS, Inc.",4-Mar-15,PO516479,78.46,11167
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),B & H FOTO & ELECTORNICS CORP,11-Dec-14,PO512548,759.8,11168
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507692,103.5,11169
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507700,31.78,11170
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982900:Computers, Parts and Supplies",PRESENTATION SYSTEMS SOUTH,27-Feb-15,PO516253,199.9,11171
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,15.29,11172
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9090300:Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.",AMERICAN EXPRESS COMPANY,13-Nov-14,PO510271,35000,11173
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4251330:CREDENZA, METAL, CONTEMPORARY, TWO (2) CABINET STYLE, LAMINATED PLASTIC TOP,ONE FILE DRAWER AND ONE BOX DRAWER IN EACH CABINET, FLUSH END PANELS.",AMERICAN EXPRESS COMPANY,1-Dec-14,PO511650,2000,11174
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6209082:MARKER PENS, PAINT, PERMANENT, WATERPROOF",SCHOOL SPECIALTY,4-Dec-14,PO511998,39.72,11175
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6407569:TOWELS, PAPER, BIG FOLD",General Merchandise Supplies,26-Nov-14,PO511429,403.5,11176
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,12.79,11177
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0375237:DESKTOP ACCESSORIES,THOMAS E. HENDERSON DBA LT Printing and Promotion,18-Nov-14,PO510674,264,11178
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9628600:Transportation of Goods and other Freight Services,ACCURATE LABEL DESIGNS INC.,26-Jan-15,PO514616,39.95,11179
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158700:Textbooks: 9th thru 12th Grade (Includes Student and Teacher Editions),BARNES & NOBLE BOOKSELLERS INC,23-Dec-14,PO513331,4090.5,11180
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,"OST, Inc.",2-Dec-14,PO511731,38365.46,11181
