Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
SABAI DEE THAI RESTAURANT,"SABAI DEE THAI RESTAURANT, LLC",(808)955-3825,12766,"SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96826,"PUHILAUMILO PLACE
EWA BEACH, HAWAII 96706
(21.37136595274812, -158.023888262936)",PUHILAUMILO PLACE ,   ,EWA BEACH,HAWAII,96706,CHARMAINE NAZARENO,,12766,Open,137 New and Renewal 2,Category 2,03/09/2011 12:00:00 AM,1,7,16,1,03/18/2013 12:00:00 AM
"OLD SCHOOL CAFÉ, LLC","OLD SCHOOL CAFÉ, LLC",(808)677-5163,12767,"KAMEHAMEHA HIGHWAY
WAIPAHU, HAWAII 96797
(21.41886631229164, -158.00527232051698)",KAMEHAMEHA HIGHWAY ,   ,WAIPAHU,HAWAII,96797,"KAMEHAMEHA HIGHWAY
WAIPAHU, HAWAII 96797
(21.41886631229164, -158.00527232051698)",KAMEHAMEHA HIGHWAY ,   ,WAIPAHU,HAWAII,96797,,,12767,Open,137 New and Renewal 1,Category 1,03/02/2011 12:00:00 AM,9,4,5,74,03/16/2013 12:00:00 AM
BLAZIN STEAKS,RICHARD CRAFT,,12768,"UNIVERSITY AVENUE
HONOLULU, HAWAII 96819
(21.295021883173177, -157.82133690607532)",UNIVERSITY AVENUE ,   ,HONOLULU,HAWAII,96819,"UNIVERSITY AVENUE
HONOLULU, HAWAII 96819
(21.295021883173177, -157.82133690607532)",UNIVERSITY AVENUE ,   ,HONOLULU,HAWAII,96819,,,12768,Open,137 New and Renewal 2,Category 2,03/08/2011 12:00:00 AM,2,8,6,1,03/17/2013 12:00:00 AM
CRISPY GRINDZ (MOBILE UNIT),CHRISTIAN / CRIS JENSEN,(808)352-4876,12769,"KEALOHANUI STREET
WAIALUA, HAWAII 96791
(21.57385667835763, -158.12878812823212)",KEALOHANUI STREET ,   ,WAIALUA,HAWAII,96791,"WEHIWA PLACE
HALEIWA, HAWAII 96712
(21.67843070738348, -158.034708234526)",WEHIWA PLACE ,   ,HALEIWA,HAWAII,96712, CRIS JENSEN,,12769,Open,137 New and Renewal 3,Category 3,03/02/2011 12:00:00 AM,6,7,1,5,03/10/2013 12:00:00 AM
CRISPY GRINDZ (COMMISSARY),CHRISTIAN / CRIS JENSEN,(808)352-4876,12770,"KEALOHANUI STREET
WAIALUA, HAWAII 96791
(21.57385667835763, -158.12878812823212)",KEALOHANUI STREET ,   ,WAIALUA,HAWAII,96791,"WEHIWA PLACE
HALEIWA, HAWAII 96712
(21.67843070738348, -158.034708234526)",WEHIWA PLACE ,   ,HALEIWA,HAWAII,96712,  CRIS JENSEN,,12770,Open,137 New and Renewal 2,Category 2,03/02/2011 12:00:00 AM,6,7,1,5,03/10/2013 12:00:00 AM
CREPE HARAJUKU,"PEACE FOODS INTERNATIONAL, LTD.",,12771,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96813
(21.30452322041276, -157.8628675973884)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96813,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814, AZUSA IMURA,,12771,Open,137 New and Renewal 3,Category 3,03/16/2011 12:00:00 AM,2,3,38,1,03/18/2013 12:00:00 AM
ALONZO'S LUNCHWAGON & CATERING,ALONZO'S FOOD SERVICES LLC,(808)478-9990,12772,"KUAHELANI AVENUE
MILILANI, HAWAII 96789
(21.459377480637926, -158.0038678017522)",KUAHELANI AVENUE ,   ,MILILANI,HAWAII,96789,"KUAHELANI AVENUE
MILILANI, HAWAII 96789
(21.459377480637926, -158.0038678017522)",KUAHELANI AVENUE ,   ,MILILANI,HAWAII,96789,,,12772,Open,137 New and Renewal 3,Category 3,03/02/2011 12:00:00 AM,9,5,1,46,03/13/2013 12:00:00 AM
"ALPHABETLAND PRESCHOOL, LLC, PEARL CITY, SERVING SITE","ALPHABETLAND PRESCHOOL, LLC",(808)677-8009,12775,"KOMO MAI DRIVE
PEARL CITY, HAWAII 96782
(21.417799915199822, -157.96363327900067)",KOMO MAI DRIVE,   ,PEARL CITY,HAWAII,96782,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,,,12775,Open,137 New and Renewal 3,Category 3,02/25/2011 12:00:00 AM,9,7,83,43,03/20/2013 12:00:00 AM
MOBILE HOT DOG CART,HOST HONOLULU JOINT VENTURE COMPANY,(808)836-2566,12776,"RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.337712389005517, -157.91834469135173)",RODGERS BOULEVARD ,   ,HONOLULU,HAWAII,96819,"RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.337712389005517, -157.91834469135173)",RODGERS BOULEVARD ,   ,HONOLULU,HAWAII,96819,,,12776,Open,137 New and Renewal 3,Category 3,03/24/2011 12:00:00 AM,1,1,3,57,03/24/2013 12:00:00 AM
FIVE STAR NOODLE FACTORY,"SHIRO & ASSOCIATES, INC.",(808)488-8824,12782,"COLBURN STREET
HONOLULU, HAWAII 96819
(21.326507732693983, -157.8800353069989)",COLBURN STREET ,   ,HONOLULU,HAWAII,96819,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701, SHIRO'S SAIMIN HAVEN,,12782,Open,137 New and Renewal 3,Category 3,03/08/2011 12:00:00 AM,1,2,9,34,03/27/2013 12:00:00 AM
MIX CAFE,"MIX CAFE DUE, LLC",(808)291-8127,12783,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96813,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96813,,,12783,Open,137 New and Renewal 2,Category 2,03/14/2011 12:00:00 AM,2,1,17,11,03/27/2013 12:00:00 AM
ACCENTS #463,"FOOD PANTRY, LTD.",(808)732-5515,12784,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,"HARDING AVENUE
HONOLULU, HAWAII 96816
(21.287452571941955, -157.8126525404355)",HARDING AVENUE ,   ,HONOLULU,HAWAII,96816,,,12784,Open,137 New and Renewal 3,Category 3,03/16/2011 12:00:00 AM,2,6,2,5,03/25/2013 12:00:00 AM
PACT EARLY HEAD START @ MAILI VILLAGES,PARENTS & CHILDREN TOGETHER,,12785,"KULAAUPUNI STREET
MAILI, HAWAII 96792
(21.433329999679927, -158.1768300002042)",KULAAUPUNI STREET ,   ,MAILI,HAWAII,96792,"LINAPUNI STREET
HONOLULU, HAWAII 96819
(21.33994751514686, -157.87381234648495)",LINAPUNI STREET,105,HONOLULU,HAWAII,96819,PARENTS & CHILDREN TOGETHER,,12785,Open,137 New and Renewal 3,Category 3,03/14/2011 12:00:00 AM,8,7,10,7,03/30/2013 12:00:00 AM
BEACHES & BACKYARDS CATERING,VANESSA HOLLINGER,(808)371-5179,12786,"ULUNIU STREET
KAILUA, HAWAII 96734
(21.39718936231182, -157.74277213359568)",ULUNIU STREET ,   ,KAILUA,HAWAII,96734,"KAAAWA, HAWAII 96730
(21.550339999691403, -157.8511700000953)",,   ,KAAAWA,HAWAII,96730,,635,12786,Open,137 New and Renewal 1,Category 1,04/18/2011 12:00:00 AM,4,3,53,6,03/30/2013 12:00:00 AM
TACO DEL MAR,"DND BAJA HAWAII, LLC",(808)671-1117,12787,"KA UKA BOULEVARD
WAIPIO, HAWAII 96797
(21.419398119825388, -158.0059407390297)",KA UKA BOULEVARD,A103   ,WAIPIO,HAWAII,96797,"KAI UHU STREET
EWA BEACH, HAWAII 96706
(21.311635847913138, -158.01849177988439)",KAI UHU STREET,   ,EWA BEACH,HAWAII,96706,DOUGLAS YOUNG,,12787,Open,137 New and Renewal 2,Category 2,03/08/2011 12:00:00 AM,9,4,127,8,03/27/2013 12:00:00 AM
RIVERA'S SEAFOOD COMMISSARY,JIMMY P. & JOSEPHINE B. RIVERA,(808)520-3144,12788,"GULICK AVENUE
HONOLULU, HAWAII 96819
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96819,"KAAHOLO STREET
WAIPAHU, HAWAII 96797
(21.39079967929365, -158.02157095589897)",KAAHOLO STREET ,   ,WAIPAHU,HAWAII,96797,,,12788,Open,137 New and Renewal 3,Category 3,03/14/2011 12:00:00 AM,1,2,11,137,04/01/2013 12:00:00 AM
RIVERA'S SEAFOOD,JIMMY P. & JOSEPHINE B. RIVERA,(808)520-3144,12789,"GULICK AVENUE
HONOLULU, HAWAII 96819
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96819,"KAAHOLO STREET
WAIPAHU, HAWAII 96797
(21.39079967929365, -158.02157095589897)",KAAHOLO STREET ,   ,WAIPAHU,HAWAII,96797,,,12789,Open,137 New and Renewal 3,Category 3,03/14/2011 12:00:00 AM,1,2,11,137,04/01/2013 12:00:00 AM
HAUNANI'S BBQ,HAUNANI L. MARTIN,(808)384-5660,12790,"ILAUHOLE STREET
WAIMANANO, HAWAII 96795
(21.338820000342878, -157.71230000014475)",ILAUHOLE STREET ,   ,WAIMANANO,HAWAII,96795,"KALANIANAOLE HIGHWAY
WAIMANANO, HAWAII 96795
(21.346795852399993, -157.71406577442042)",KALANIANAOLE HIGHWAY ,   ,WAIMANANO,HAWAII,96795,  HAUNANI L. MARTIN,,12790,Open,137 New and Renewal 2,Category 2,03/30/2009 12:00:00 AM,4,1,8,2,03/30/2011 12:00:00 AM
HAUNANI'S BBQ LUNCHWAGON,HAUNANI L. MARTIN,(808)384-5660,12791,"ILAUHOLE STREET
WAIMANALO, HAWAII 96795
(21.33069449197959, -157.69707407843404)",ILAUHOLE STREET ,   ,WAIMANALO,HAWAII,96795,"KALANIANAOLE HIGHWAY
WAIMANALO, HAWAII 96795
(21.346795852399993, -157.71406577442042)",KALANIANAOLE HIGHWAY ,   ,WAIMANALO,HAWAII,96795, HAUNANI L. MARTIN,,12791,Open,137 New and Renewal 3,Category 3,03/30/2009 12:00:00 AM,4,1,8,2,03/30/2011 12:00:00 AM
ORANGE TREE KANEOHE,"YMC PACIFIC, INC.",(808)382-2911,12793,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,C,KANEOHE,HAWAII,96744,"OLUA PLACE
WAIPAHU, HAWAII 96797
(21.40659566951543, -158.00704131223222)",OLUA PLACE ,   ,WAIPAHU,HAWAII,96797,IN YONG CHONG,,12793,Open,137 New and Renewal 3,Category 3,03/08/2011 12:00:00 AM,4,5,20,24,03/30/2013 12:00:00 AM
NEW MIGAWON,NEW MIGAWON INC.,(808)771-7860,12794,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,101,HONOLULU,HAWAII,96814,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,101,HONOLULU,HAWAII,96814,,,12794,Open,137 New and Renewal 2,Category 2,04/11/2011 12:00:00 AM,2,3,22,1,03/31/2013 12:00:00 AM
MAUKA CHINESE CUISINE / NEW GENKI RAMEN II,"MWL ENTERPRISES, INC.",(808)541-7128,12797,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,1-2,MILILANI,HAWAII,96789,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY,1-2,MILILANI,HAWAII,96789,,,12797,Open,137 New and Renewal 1,Category 1,03/14/2011 12:00:00 AM,9,5,49,10,03/27/2013 12:00:00 AM
G'S BAR & GRILL,"P.S. LOUNGE, INC.",(808)256-8489,12800,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,,,12800,Open,137 New and Renewal 3,Category 3,03/31/2011 12:00:00 AM,9,4,13,50,03/30/2013 12:00:00 AM
ALOHA TABLE,"ZETTON, INC.",(808)779-2147,12801,"LAUULA STREET
HONOLULU, HAWAII 96815
(21.281780519968972, -157.83008241072767)",LAUULA STREET ,2ND FLOOR   ,HONOLULU,HAWAII,96815,"LAUULA STREET
HONOLULU, HAWAII 96815
(21.281780519968972, -157.83008241072767)",LAUULA STREET ,2ND FLOOR   ,HONOLULU,HAWAII,96815,,,12801,Open,137 New and Renewal 2,Category 2,02/08/2011 12:00:00 AM,2,6,19,12,02/13/2013 12:00:00 AM
"NISHIMOTO TRADING CO., LTD.","NISHIMOTO TRADING CO., LTD.",(562)802-1900,12804,"LIBBY STREET
HONOLULU, HAWAII 96817
(21.32345661978094, -157.88114315338424)",LIBBY STREET ,   ,HONOLULU,HAWAII,96817,"ORDEN DRIVE
SANTA FE SPRINGS, CALIFORNIA 90670
(33.911714054256265, -118.04670225690384)",ORDEN DRIVE ,   ,SANTA FE SPRINGS,CALIFORNIA,90670,ADMIN. DEPT.,,12804,Open,137 New and Renewal 3,Category 3,02/24/2012 12:00:00 AM,1,2,0,,03/03/2014 12:00:00 AM
"COMMERCIAL ENTERPRISES, LTD.","COMMERCIAL ENTERPRISES, LTD.",(808)843-8550,12805,"MIDDLE STREET
HONOLULU, HAWAII 96819
(21.337888685779333, -157.88363708581267)",MIDDLE STREET ,   ,HONOLULU,HAWAII,96819,"MIDDLE STREET
HONOLULU, HAWAII 96819
(21.337888685779333, -157.88363708581267)",MIDDLE STREET ,   ,HONOLULU,HAWAII,96819,,,12805,Open,137 New and Renewal 3,Category 3,08/30/2010 12:00:00 AM,1,2,0,,"August 20"", ""2014"
HONO'S (MOBILE UNIT),JONG MI LEE,(808)341-7166,12807,"KEALOHANUI STREET
WAIALUA, HAWAII 96791
(21.57385667835763, -158.12878812823212)",KEALOHANUI STREET ,   ,WAIALUA,HAWAII,96791,"KOAUKA LOOP
AIEA, HAWAII 96701
(21.385826661299323, -157.9368132157207)",KOAUKA LOOP ,C-1306,AIEA,HAWAII,96701,JONG MI LEE,,12807,Open,137 New and Renewal 3,Category 3,03/08/2011 12:00:00 AM,6,7,1,5,04/02/2013 12:00:00 AM
BLAZIN STEAKS,"PJD ENTERPRISE, INC.",,12810,"KALIA ROAD
HONOLULU, HAWAII 96815
(21.280943687655693, -157.83349984339839)",KALIA ROAD ,   ,HONOLULU,HAWAII,96815,"HONOLULU, HAWAII 96828
(21.28948000030192, -157.84277999989695)",,   ,HONOLULU,HAWAII,96828,,11782,12810,Open,137 New and Renewal 2,Category 2,03/02/2011 12:00:00 AM,2,6,4,12,03/02/2013 12:00:00 AM
HONOLULU SNACK,"ASIAMERICA TRADING, INC.",(808)349-6173,12811,"MAKALOA STREET
HONOLULU, HAWAII 96814
(21.29383170762512, -157.84214931790567)",MAKALOA STREET ,   ,HONOLULU,HAWAII,96814,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,805,HONOLULU,HAWAII,96814,OLIVIA YOON,,12811,Open,137 New and Renewal 3,Category 3,04/04/2011 12:00:00 AM,2,3,20,1,04/03/2013 12:00:00 AM
"INTERNATIONAL EXPRESS, INC.","INTERNATIONAL EXPRESS, INC.",(808)836-4744,12812,"WAIWAI LOOP
HONOLULU, HAWAII 96819
(21.33381536464377, -157.89880427131567)",WAIWAI LOOP ,   ,HONOLULU,HAWAII,96819,"HONOLULU, HAWAII 96808
(21.30654000012106, -157.86044000040556)",,   ,HONOLULU,HAWAII,96808,,797,12812,Open,137 New and Renewal 3,Category 3,04/06/2011 12:00:00 AM,1,1,16,16,04/02/2013 12:00:00 AM
"SWEET PARADISE CHOCOLATIER, LLC","SWEET PARADISE CHOCOLATIER, LLC",(808)557-5358,12816,"KAINEHE STREET
KAILUA, HAWAII 96734
(21.393387535464175, -157.74502753261615)",KAINEHE STREET ,   ,KAILUA,HAWAII,96734,"KAINEHE STREET
KAILUA, HAWAII 96734
(21.393387535464175, -157.74502753261615)",KAINEHE STREET ,   ,KAILUA,HAWAII,96734,,,12816,Open,137 New and Renewal 3,Category 3,03/28/2011 12:00:00 AM,4,3,57,72,04/01/2013 12:00:00 AM
E & D ICE CREAM AND SNACK WAGON,ELSA AND DAVID VALENTINI,(808)392-7238,12817,"LEOKU STREET
WAIPAHU, HAWAII 96797
(21.377940326708565, -158.02342611499094)",LEOKU STREET ,   ,WAIPAHU,HAWAII,96797,"WAHINOHO STREET
KAPOLEI, HAWAII 96707
(21.334467282181542, -158.06264325166433)",WAHINOHO STREET ,   ,KAPOLEI,HAWAII,96707, ELSA OR DAVID VALENTINI,,12817,Open,137 New and Renewal 2,Category 2,04/14/2011 12:00:00 AM,9,4,47,27,04/06/2013 12:00:00 AM
E & D ICE CREAM AND SNACK WAGON (COMMISSARY),ELSA AND DAVID VALENTINI,(808)392-7238,12818,"LEOKU STREET
WAIPAHU, HAWAII 96797
(21.377940326708565, -158.02342611499094)",LEOKU STREET ,   ,WAIPAHU,HAWAII,96797,"WAHINOHO STREET
KAPOLEI, HAWAII 96707
(21.334467282181542, -158.06264325166433)",WAHINOHO STREET ,   ,KAPOLEI,HAWAII,96707,ELSA OR DAVID VALENTINI,,12818,Open,137 New and Renewal 2,Category 2,04/06/2009 12:00:00 AM,9,4,47,27,04/06/2013 12:00:00 AM
LIKINI LCRS (LICENSED CRISIS RESIDENTIAL SERVICES),"CARE HAWAII, INC.",(808)791-6158,12819,"LIKINI STREET
HONOLULU, HAWAII 96818
(21.355771086252417, -157.92087836488838)",LIKINI STREET ,   ,HONOLULU,HAWAII,96818,"CORAL STREET
HONOLULU, HAWAII 96813
(21.296362938839366, -157.8628657611977)",CORAL STREET ,   ,HONOLULU,HAWAII,96813,MARIA KINSLER,,12819,Open,137 New and Renewal 1,Category 1,03/29/2011 12:00:00 AM,1,1,58,14,04/03/2013 12:00:00 AM
4 SEASON'S FOODS,JONATHAN KOOB,(808)388-0386,12820,"KUAHAO PLACE
PEARL CITY, HAWAII 96782
(21.392347376642814, -157.95595555976792)",KUAHAO PLACE ,   ,PEARL CITY,HAWAII,96782,"IPUAIWAHA STREET
KEAAU, HAWAII 96749
(19.61191629554686, -155.039852222938)",IPUAIWAHA STREET ,   ,KEAAU,HAWAII,96749,,,12820,Open,137 New and Renewal 3,Category 3,03/29/2011 12:00:00 AM,9,8,59,15,04/02/2013 12:00:00 AM
LEMONGRASS CAFE,PACIFIC GATEWAY CENTER,(808)851-7010,12823,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,   ,HONOLULU,HAWAII,96817,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,   ,HONOLULU,HAWAII,96817,,,12823,Open,137 New and Renewal 1,Category 1,04/08/2011 12:00:00 AM,1,7,2,9,04/06/2013 12:00:00 AM
KELLY'S MINI MART & FAST FOOD INC.,KELLY'S MINI MART & FAST FOOD INC.,(808)561-1273,12827,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,,,12827,Open,137 New and Renewal 1,Category 1,03/24/2011 12:00:00 AM,7,4,3,36,04/08/2013 12:00:00 AM
KURU KURU SUSHI,"CORPORATION GINSHARI, INC.",(808)484-4596,12828,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701,,,12828,Open,137 New and Renewal 1,Category 1,03/14/2011 12:00:00 AM,9,8,16,44,03/31/2013 12:00:00 AM
GRANDMA G'S KITCHEN,"GRANDMA G'S KITCHEN, LLC",(808)220-2175,12837,"UMI STREET
HONOLULU, HAWAII 96819
(21.333609051500428, -157.88304952735677)",UMI STREET ,   ,HONOLULU,HAWAII,96819,"PUUWEPA PLACE
MILILANI, HAWAII 96789
(21.431408950858135, -158.01655567447023)",PUUWEPA PLACE ,   ,MILILANI,HAWAII,96789,ROBYN ISHISAKA,,12837,Open,137 New and Renewal 2,Category 2,04/18/2011 12:00:00 AM,1,2,14,57,04/16/2013 12:00:00 AM
ALOHA SUSHI,"S & K PACITIC, LLC",(808)343-5236,12840,"MERCHANT STREET
HONOLUU, HAWAII 96813
(21.310211008331983, -157.86353720202447)",MERCHANT STREET ,101,HONOLUU,HAWAII,96813,"MERCHANT STREET
HONOLUU, HAWAII 96813
(21.310211008331983, -157.86353720202447)",MERCHANT STREET ,101,HONOLUU,HAWAII,96813,,,12840,Open,137 New and Renewal 1,Category 1,04/06/2011 12:00:00 AM,2,1,16,11,04/16/2013 12:00:00 AM
WAIPAHU HALE,WAIANAE COAST COMPREHENSIVE HEALTH CENTER,(808)227-2178,12842,"HIKIMOE STREET
WAIPAHU, HAWAII 96797
(21.384639310106213, -158.00603285278694)",HIKIMOE STREET ,   ,WAIPAHU,HAWAII,96797,"HIKIMOE STREET
WAIPAHU, HAWAII 96797
(21.384639310106213, -158.00603285278694)",HIKIMOE STREET ,   ,WAIPAHU,HAWAII,96797,,,12842,Open,137 New and Renewal 2,Category 2,04/27/2011 12:00:00 AM,9,4,17,51,04/17/2013 12:00:00 AM
GOVINDA'S,"ISK CON HAWAII, INC.",(808)595-4913,12843,"THE MALL
HONOLULU, HAWAII 96822
(21.300022987783798, -157.81776934420287)",THE MALL ,   ,HONOLULU,HAWAII,96822,"COELHO WAY
HONOLULU, HAWAII 96817
(21.328951096550792, -157.84547001605284)",COELHO WAY ,   ,HONOLULU,HAWAII,96817,PETER CORBETT,,12843,Open,137 New and Renewal 3,Category 3,03/24/2011 12:00:00 AM,2,9,4,5,04/14/2013 12:00:00 AM
SENPAI,FSA CO.,(808)341-8681,12846,"BISHOP STREET
HONOLULU, HAWAII 96813
(21.307023335654208, -157.86366799399445)",BISHOP STREET ,1132A,HONOLULU,HAWAII,96813,"BISHOP STREET
HONOLULU, HAWAII 96813
(21.307023335654208, -157.86366799399445)",BISHOP STREET ,102,HONOLULU,HAWAII,96813, BERNARD T. ANGELES,,12846,Open,137 New and Renewal 2,Category 2,04/13/2011 12:00:00 AM,2,1,10,10,04/14/2013 12:00:00 AM
GREAT HARVEST DOWNTOWN HONO,"AHNO, LLC",(808)587-0017,12847,"MERCHANT STREET
HONOLULU, HAWAII 96813
(21.310211008331983, -157.86353720202447)",MERCHANT STREET ,   ,HONOLULU,HAWAII,96813,"MERCHANT STREET
HONOLULU, HAWAII 96813
(21.310211008331983, -157.86353720202447)",MERCHANT STREET ,   ,HONOLULU,HAWAII,96813, KAREN SY MORGADO,,12847,Open,137 New and Renewal 2,Category 2,04/06/2011 12:00:00 AM,2,1,16,12,04/21/2013 12:00:00 AM
TACO DEL MAR,SONAMU CORP.,(808)942-1440,12848,"MOANALUA ROAD
AIEA, HAWAII 96701
(21.384009797972425, -157.93770917666674)",MOANALUA ROAD ,547,AIEA,HAWAII,96701,"KAHULUI STREET
HONOLULU, HAWAII 96825
(21.302783032286044, -157.6710017390474)",KAHULUI STREET ,   ,HONOLULU,HAWAII,96825,  MIOK CHUNG,,12848,Open,137 New and Renewal 2,Category 2,07/14/2011 12:00:00 AM,9,8,16,51,04/20/2013 12:00:00 AM
HIGA MEAT & PORK MARKET,"HIGA MEAT & PORK MARKET, LTD.",(808)531-3591,12851,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96817
(21.312482220372033, -157.86522831771532)",NORTH NIMITZ HIGHWAY,   ,HONOLULU,HAWAII,96817,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96817
(21.312482220372033, -157.86522831771532)",NORTH NIMITZ HIGHWAY,   ,HONOLULU,HAWAII,96817,SHELDON C. WRIGHT,,12851,Open,137 New and Renewal 3,Category 3,04/06/2011 12:00:00 AM,1,5,8,,04/24/2013 12:00:00 AM
NEXT STEP PROJECT,H5,(808)522-0397,12853,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96813
(21.30452322041276, -157.8628675973884)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96813,"SOUTH STREET
HONOLULU, HAWAII 96813
(21.299470495129054, -157.8630444570113)",SOUTH STREET ,171,HONOLULU,HAWAII,96813,  SAMIANA LANGI,,12853,Open,137 New and Renewal 3,Category 3,05/26/2011 12:00:00 AM,2,1,15,26,04/23/2013 12:00:00 AM
CAFÉ COSMOS,CAFÉ COSMOS CORP.,(808)589-9020,12854,"KALAKAUA AVENUE
HONOLULU, HAWAII 96826
(21.299226299579416, -157.8367114628181)",KALAKAUA AVENUE ,204-A,HONOLULU,HAWAII,96826,"KALAKAUA AVENUE
HONOLULU, HAWAII 96826
(21.299226299579416, -157.8367114628181)",KALAKAUA AVENUE ,204-A,HONOLULU,HAWAII,96826,,,12854,Open,137 New and Renewal 2,Category 2,04/21/2011 12:00:00 AM,2,3,32,7,04/22/2013 12:00:00 AM
SUNNY DELI,SUNNY CHONG,(808)533-0503,12855,"LUSITANIA STREET
HONOLULU, HAWAII 96813
(21.3058190636529, -157.85171913974472)",LUSITANIA STREET ,   ,HONOLULU,HAWAII,96813,"LUSITANIA STREET
HONOLULU, HAWAII 96813
(21.3058190636529, -157.85171913974472)",LUSITANIA STREET ,   ,HONOLULU,HAWAII,96813,,,12855,Open,137 New and Renewal 1,Category 1,05/04/2011 12:00:00 AM,2,2,2,46,04/23/2013 12:00:00 AM
ICHIBEN,3 W RESTAURANT GROUP,(808)285-9058,12856,"KAAHUMANU STREET
PEARL CITY, HAWAII 96782
(21.412558775792547, -157.93977761733413)",KAAHUMANU STREET ,106,PEARL CITY,HAWAII,96782,"KAAHUMANU STREET
PEARL CITY, HAWAII 96782
(21.412558775792547, -157.93977761733413)",KAAHUMANU STREET ,106,PEARL CITY,HAWAII,96782,,,12856,Open,137 New and Renewal 1,Category 1,04/11/2011 12:00:00 AM,9,8,8,37,04/27/2013 12:00:00 AM
